Prev_start_date,Prev_expiry_date,New_drop_date,CnAdrPrf_ZIP,CnAttrCat_1_01_Comments,CnAttrCat_2_01_Comments,CnAttrCat_4_01_Description,CnAttrCat_5_01_Description,CnBio_Age,CnBio_Constit_Code,CnBio_ID,CnBio_Import_ID,CnMem_1_01_Consecutive_Years,CnMem_1_01_Cur_Category_description,CnMem_1_01_Cur_Expires_on,CnMem_1_01_Date_Joined,CnMem_1_01_Last_Dropped_Date,CnMem_1_01_Standing,Number_of_Records
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60563,,,,,,Individuals,147082,01894-593-0000104967,0,2 YR Morton 4,,1/23/06,8/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60154,,,,,40,Individuals,139458,01894-593-0000091597,0,Morton 4,,5/11/05,10/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60187-5314,,,,,,Individuals,1570,19931122_MC_001570,0,Morton 2,,4/30/93,7/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60517,,,,,62,Individuals,138946,01894-593-0000090748,0,2 YR Morton 4,,4/12/05,10/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60134,,,,,,Individuals,149693,01894-593-0000109531,0,Morton 4,,5/9/06,10/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,60515,,,,,,Individuals,148602,01894-593-0000107586,0,Morton 2,,4/19/06,2/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60137,,,,,,Individuals,148406,01894-593-0000107268,0,Morton 1,,4/19/06,10/1/14,Dropped,1
7/1/12 0:00,7/1/13 0:00,6/30/14 0:00,60440,,,,,63,Individuals,107400,01894-079-0039064,0,Morton 1,,5/5/98,7/1/14,Dropped,1
10/1/12 0:00,10/1/13 0:00,9/30/14 0:00,60565-1339,,,,,77,Individuals,126314,01894-079-0066574,0,Morton 2,,4/30/05,10/1/14,Dropped,1
9/1/12 0:00,9/1/13 0:00,8/31/14 0:00,60441,,,,,43,Individuals,138579,01894-593-0000090111,0,Morton 4,,10/8/06,9/1/14,Dropped,1
2/1/12 0:00,2/1/13 0:00,1/31/14 0:00,60126-2448,,,,,,Individuals,109036,01894-079-0041380,0,2 YR Morton 4,,10/12/98,2/1/14,Dropped,1
8/1/12 0:00,8/1/13 0:00,7/31/14 0:00,60190,,,,,,Individuals,133366,01894-593-0000080770,0,Morton 2,,3/5/04,8/1/14,Dropped,1
