Prev_start_date,Prev_expiry_date,New_drop_date,CnAdrPrf_ZIP,CnAttrCat_1_01_Comments,CnAttrCat_2_01_Comments,CnAttrCat_4_01_Description,CnAttrCat_5_01_Description,CnBio_Age,CnBio_Constit_Code,CnBio_ID,CnBio_Import_ID,CnMem_1_01_Consecutive_Years,CnMem_1_01_Cur_Category_description,CnMem_1_01_Cur_Expires_on,CnMem_1_01_Date_Joined,CnMem_1_01_Last_Dropped_Date,CnMem_1_01_Standing,Number_of_Records
,,,60187-7119,,,,Donor,78,Individuals,9239,19940117_RT_009239,20,2 YR Morton 4,10/31/16,3/31/94,,Active,1
,,,60137,,,,,60,Individuals,9039,19940117_OS_009039,22,Morton 6,10/31/15,9/30/92,,Active,1
,,,60563,,,,,61,Individuals,166,19931101_TA_000166,20,Morton 4,2/28/15,12/31/93,,Active,1
,,,60187-7652,,,,,70,Individuals,2520,19931202_BG_002520,21,Morton 6,12/31/14,9/30/93,,Active,1
,,,60302-1924,,,,,,Individuals,6868,19940110_KO_006868,21,2 YR Morton 1,10/31/15,3/31/93,,Active,1
,,,60154,,,,,57,Individuals,141530,01894-593-0000095057,9,Morton 2,10/31/15,8/10/05,,Active,1
,,,60126-2101,,,,,65,Individuals,5414,19931229_ML_005414,21,2 YR Morton 2,9/30/16,8/31/93,,Active,1
,,,60514-1015,,,,Donor,47,Individuals,141531,01894-593-0000095059,9,Morton 4,11/30/14,8/10/05,,Active,1
,,,60126,,,,,68,Individuals,6249,19940105_GM_006249,21,Morton 4,10/31/15,2/28/93,,Active,1
,,,60172-1105,,,,,59,Individuals,131409,01894-079-0075772,11,Morton 1,1/31/15,8/25/03,,Active,1
,,,60559-2212,,,,,41,Individuals,141649,01894-593-0000095242,9,Morton 4,8/31/15,8/14/05,,Active,1
,,,60440-1324,,,,,,Individuals,11747,19940916_SA_011747,20,2 YR Morton 2,9/30/15,9/30/94,,Active,1
,,,60565-3458,,,,,67,Individuals,108820,01894-079-0041127,16,Morton 2,10/31/15,9/30/98,,Active,1
,,,60110-3369,,,,,44,Individuals,141756,01894-593-0000095426,9,Morton 4,9/30/15,8/15/05,,Active,1
,,,6018-7152,,,,,,Individuals,135704,01894-593-0000085046,10,Morton 2,1/31/15,8/12/04,,Active,1
,,,60532,,,,,,Individuals,141786,01894-593-0000095478,9,2 YR Morton 6,1/31/15,8/16/05,,Active,1
,,,60189,,,,Donor,59,Individuals,16141,19950919_SL_016141,19,2 YR Morton 1,9/30/15,9/30/95,,Active,1
,,,60115,,,,Donor,,Individuals,131253,01894-079-0075372,11,2 YR Morton 1,2/28/15,8/11/03,,Active,1
,,,60126,Yes,,,Donor,56,Individuals,131361,01894-079-0075654,3,2 YR Morton 1,10/31/16,10/22/11,,Active,1
,,,60515-4426,,,,Donor,67,Individuals,6566,19940107_JM_006566,21,Morton 4,11/30/15,4/30/93,,Active,1
,,,60513,,,,,79,Individuals,114093,01894-079-0048248,10,Morton 2,8/31/15,8/15/04,,Active,1
,,,60510,,,,,63,Individuals,131330,01894-079-0075573,11,2 YR Morton 4,8/31/16,8/17/03,,Active,1
,,,60540-7411,,,,,81,Individuals,137863,01894-593-0000088973,9,Morton 1,12/31/15,12/17/04,,Active,1
,,,60521-5028,,,,,76,Individuals,2044,19931129_RD_002044,21,Morton 1,1/31/15,10/31/93,,Active,1
,,,60137-5339,,,,,,Individuals,137924,01894-593-0000089069,9,2 YR Morton 4,12/31/15,12/20/04,,Active,1
,,,60517,,,Recipient,,45,Individuals,145442,01894-593-0000102201,9,Morton 6,3/31/15,11/4/05,,Active,1
,,,60555-4041,,,,Donor,,Individuals,145468,01894-593-0000102255,9,2 YR Morton 4,11/30/15,11/4/05,,Active,1
,,,60540,,,,,60,Individuals,123556,01894-079-0062109,13,Partner,6/30/15,10/10/01,,Active,1
,,,60189-6916,,,,,,Individuals,145494,01894-593-0000102302,9,Morton 6,9/30/15,11/5/05,,Active,1
,,,60558,,,,,,Individuals,145508,01894-593-0000102321,9,Morton 4,1/31/15,11/6/05,,Active,1
,,,60561,,,,,63,Volunteers,18307,19960509_DS_018307,18,2 YR Morton 2,5/31/16,5/31/96,,Active,1
,,,60139,,,,,77,Individuals,145523,01894-593-0000102352,9,Morton 2,4/30/15,11/7/05,,Active,1
,,,60515-4708,,,,,,Individuals,101470,01894-079-0027431,17,Morton 2,2/28/15,12/21/96,,Active,1
,,,60521,,,,Donor,52,Trustee,131430,01894-079-0075830,11,Trustee,12/31/14,10/9/03,,Active,1
,,,60563-2218,,,,Donor,74,Individuals,858,19931111_JB_000858,29,2 YR Morton 4,4/30/15,3/31/85,,Active,1
,,,60134,,,,Donor,90,Individuals,4016,19931215_CJ_004016,21,Partner,9/30/16,2/28/93,,Active,1
,,,60189,,,,,64,Individuals,5906,19940201_CP_005906,20,2 YR Morton 4,2/29/16,1/31/94,,Active,1
,,,60137-4420,,,,,54,Volunteers,114045,01894-079-0048188,14,2 YR Morton 1,1/31/16,12/15/99,,Active,1
,,,60193-4290,,,Recipient,Donor,62,Volunteers,101072,01894-079-0026679,18,2 YR Morton 1,1/31/16,11/9/96,,Active,1
,,,60137-7901,,,,,,Individuals,119592,01894-079-0055340,14,Morton 4,12/31/14,10/11/00,,Active,1
,,,60137-3815,,,,,67,Individuals,810,19931110_TB_000810,27,Morton 2,12/31/15,4/30/87,,Active,1
,,,60193,Yes,,Recipient,Donor,,Individuals,132354,01894-079-0078471,10,2 YR Morton 2,5/31/16,11/14/03,,Active,1
,,,60527,,,,,72,Individuals,113454,01894-079-0047351,15,Morton 6,11/30/15,10/26/99,,Active,1
,,,60187,,,,Donor,60,Volunteers,145577,01894-593-0000102453,7,Morton 4,1/31/15,11/15/06,,Active,1
,,,60515-5325,,,,,72,Individuals,116512,01894-079-0050446,14,2 YR Morton 4,4/30/16,4/19/00,,Active,1
,,,60138-2368,,,,Donor,76,Individuals,3750,19931214_CH_003750,21,2 YR Morton 2,2/28/15,1/31/93,,Active,1
,,,60532,,,,Donor,69,Volunteers,125347,01894-079-0065133,12,Morton 4,5/31/15,3/27/02,,Active,1
,,,60540,,,,,53,Individuals,5037,19931227_DR_005037,20,Morton 2,2/28/15,12/31/93,,Active,1
,,,60190-1456,,,,,57,Individuals,4353,19931220_JK_004353,21,2 YR Morton 2,8/31/15,5/31/93,,Active,1
,,,60187,,,,,,Individuals,121697,01894-079-0059017,13,Morton 2,5/31/15,5/4/01,,Active,1
,,,60068,,,,Donor,66,Individuals,10484,19940426_TW_010484,7,Retiree,1/31/15,4/13/07,,Active,1
,,,60517-3714,,,,,64,Individuals,7460,19940117_DP_007460,20,Morton 2,2/28/15,11/30/93,,Active,1
,,,60542-1591,,,,,82,Individuals,109061,01894-079-0041420,16,2 YR Morton 4,3/31/15,10/13/98,,Active,1
,,,60305,,,,,,Individuals,185942,01894-593-0000175135,4,Morton 4,5/31/15,1/20/10,,Active,1
,,,60515-2641,,,,,85,Individuals,526,19931104_FB_000526,21,2 YR Morton 2,6/30/16,6/30/93,,Active,1
,,,60532-3251,,,,,67,Individuals,132470,01894-079-0078721,10,Morton 4,2/28/15,12/8/03,,Active,1
,,,60506,,,,,,Individuals,145731,01894-593-0000102722,8,2 YR Morton 1,2/29/16,11/14/05,,Active,1
,,,60555,,,,,62,Individuals,128226,01894-079-0069848,12,Morton 2,11/30/15,10/27/02,,Active,1
,,,60514-1102,,,,Donor,77,Individuals,114157,01894-079-0048337,14,Morton 2,12/31/15,12/23/99,,Active,1
,,,60187,,,,,,Individuals,137574,01894-593-0000088514,9,Morton 4,3/31/15,11/18/04,,Active,1
,,,60565-2362,,,,,69,Individuals,105408,01894-079-0036222,16,Morton 4,1/31/15,12/7/97,,Active,1
,,,60517,,,,,,Individuals,124807,01894-079-0064214,12,2 YR Morton 2,1/31/15,1/22/02,,Active,1
,,,60516-1856,,,,,87,Individuals,9216,19940117_ET_009216,20,Morton 2,3/31/15,1/31/94,,Active,1
,,,60516-1229,,,,,52,Individuals,109669,01894-079-0042306,15,Morton 2,5/31/15,12/8/98,,Active,1
,,,60137,,,Recipient,,,Individuals,129013,01894-079-0071183,11,2 YR Morton 4,4/30/16,12/14/02,,Active,1
,,,60564-5354,,,,,62,Individuals,145762,01894-593-0000102772,8,Morton 4,11/30/14,11/16/05,,Active,1
,,,60137,,,,,,Individuals,138055,01894-593-0000089268,9,2 YR Morton 2,2/29/16,1/3/05,,Active,1
,,,60561-3552,,,,,67,Individuals,7980,19940117_RR_007980,20,2 YR Morton 2,1/31/16,1/31/94,,Active,1
,,,60558-1145,,,,,62,Individuals,111565,01894-079-0044878,15,2 YR Morton 6,10/31/15,5/19/99,,Active,1
,,,60137,,,,Donor,50,Individuals,5454,19940203_CF_005454,20,Morton 4,4/30/15,2/28/94,,Active,1
,,,60174,,,,,77,Individuals,826,19931111_CB_000826,20,2 YR Morton 1,1/31/15,1/31/94,,Active,1
,,,60540,,,,Donor,71,Individuals,4551,19931221_GK_004551,21,2 YR Morton 4,12/31/15,5/31/93,,Active,1
,,,60188-3908,,,,,67,Individuals,124752,01894-079-0064116,12,Morton 2,1/31/15,1/15/02,,Active,1
,,,60134,,,Recipient,,53,Individuals,119805,01894-079-0055691,14,Morton 4,1/31/15,10/30/00,,Active,1
,,,60563-2826,,,,,84,Volunteers,2948,19931207_RG_002948,20,2 YR Morton 4,1/31/16,1/31/94,,Active,1
,,,60565-3526,,,,,44,Individuals,109856,01894-079-0042555,15,Morton 4,3/31/15,12/22/98,,Active,1
,,,60523-7602,,,,Donor,,Volunteers,4484,19931221_MM_004484,20,2 YR Morton 1,1/31/16,1/31/94,,Active,1
,,,60130-1914,,,,,62,Individuals,7225,19940112_CP_007225,21,Morton 2,4/30/15,10/31/93,,Active,1
,,,60137-4936,,,,,81,Individuals,2497,19931202_TG_002497,20,2 YR Morton 2,1/31/16,1/31/94,,Active,1
,,,60137,,,,,,Individuals,128708,01894-079-0070633,11,2 YR Morton 1,6/30/16,11/25/02,,Active,1
,,,60534-1507,,,,,84,Individuals,13611,19950208_EK_013611,19,Morton 4,1/31/15,1/31/95,,Active,1
,,,60101-2963,,,,,86,Individuals,6791,19940107_MM_006791,21,Morton 1,2/28/15,1/31/93,,Active,1
,,,60140,,,,,71,Individuals,17272,19960116_JP_017272,18,2 YR Morton 2,2/29/16,1/31/96,,Active,1
,,,60137-6785,,,,,,Individuals,140560,01894-593-0000093444,9,2 YR Morton 4,10/31/15,6/20/05,,Active,1
,,,60193-5707,,,,,73,Individuals,109974,01894-079-0042724,15,Morton 6,3/31/15,12/31/98,,Active,1
,,,60137,,,,,64,Individuals,145790,01894-593-0000102820,2,Morton 2,3/31/15,2/18/12,,Active,1
,,,60491-8588,,,,Donor,56,Individuals,3783,19931214_JS_003783,20,Morton 2,12/31/14,12/31/93,,Active,1
,,,60148,,,,Donor,36,Individuals,135629,01894-593-0000084906,10,Morton 4,11/30/15,8/9/04,,Active,1
,,,60148-2007,,,,,79,Individuals,1074,19931116_HB_001074,20,2 YR Morton 4,1/31/16,1/31/94,,Active,1
,,,60181-3011,,,,Donor,79,Individuals,1545,19931122_PC_001545,21,2 YR Morton 4,11/30/15,1/31/93,,Active,1
,,,60559-1090,,,,Donor,63,Individuals,2344,19931201_JG_002344,20,Morton 1,4/30/15,12/31/93,,Active,1
,,,60523-1705,,,,,80,Individuals,5438,19931229_RL_005438,21,Morton 6,5/31/15,10/31/93,,Active,1
,,,60540,,,,,63,Volunteers,145838,01894-593-0000102904,8,Morton 4,1/31/15,11/23/05,,Active,1
,,,60516,,,,,68,Individuals,145868,01894-593-0000102956,8,Morton 4,11/30/14,11/26/05,,Active,1
,,,60148,,,,,,Individuals,135418,01894-593-0000084503,10,2 YR Morton 2,9/30/16,7/26/04,,Active,1
,,,60515-1859,,,,Donor,71,Individuals,7978,19940117_BR_007978,20,Morton 2,5/31/15,4/30/94,,Active,1
,,,60561-5024,,,,,72,Individuals,126745,01894-079-0067274,12,2 YR Morton 2,8/31/16,6/12/02,,Active,1
,,,60148,,,Recipient,Donor,69,Individuals,138054,01894-593-0000089267,9,2 YR Morton 2,2/28/15,1/3/05,,Active,1
,,,60480-1628,,,,Donor,79,Individuals,137807,01894-593-0000088884,9,2 YR Morton 1,4/30/16,12/14/04,,Active,1
,,,60563,,,,Donor,,Individuals,129066,01894-079-0071269,11,2 YR Morton 2,1/31/16,12/17/02,,Active,1
,,,60510,,,,,97,Individuals,7043,19940111_SP_007043,21,Morton 2,1/31/15,1/31/93,,Active,1
,,,60555,,,,,70,Individuals,2114,19931130_PF_002114,21,Morton 2,2/28/15,1/31/93,,Active,1
,,,60154-5638,,,,Donor,83,Individuals,104236,01894-079-0034535,17,Morton 1,9/30/15,9/5/97,,Active,1
,,,60137,,,,,58,Individuals,105832,01894-079-0036874,16,2 YR Morton 4,1/31/16,1/21/98,,Active,1
,,,60558,,,,Donor,71,Individuals,474,19931103_SB_000474,21,Oak Circle,12/31/14,5/31/93,,Active,1
,,,60517-1937,,,,Donor,72,Individuals,126366,01894-079-0066656,12,2 YR Morton 2,7/31/16,5/9/02,,Active,1
,,,60137-3836,,,,,85,Individuals,130699,01894-079-0074024,11,Morton 4,7/31/15,6/5/03,,Active,1
,,,60119,,,,,37,Individuals,134907,01894-593-0000083569,5,Morton 4,1/31/15,12/23/08,,Active,1
,,,60119-9551,,,,,61,Volunteers,8899,19940117_NS_008899,20,Partner,2/28/15,12/31/93,,Active,1
,,,60187,,,,Donor,,Individuals,134899,01894-593-0000083552,10,2 YR Morton 4,6/30/16,6/23/04,,Active,1
,,,60532-1328,,,,,56,Individuals,132667,01894-079-0079208,10,Morton 2,1/31/15,12/16/03,,Active,1
,,,60103,,,,Donor,,Individuals,130868,01894-079-0074461,11,Morton 4,6/30/15,6/21/03,,Active,1
,,,60137-6737,,,,,76,Individuals,114401,01894-079-0048739,14,2 YR Morton 4,1/31/16,1/19/00,,Active,1
,,,60137,,,,,,Individuals,146022,01894-593-0000103204,8,Morton 2,1/31/15,12/4/05,,Active,1
,,,60033,,,,,72,Individuals,102466,01894-079-0030255,17,2 YR Morton 2,5/31/15,4/27/97,,Active,1
,,,60565-2604,,,,,49,Individuals,2464,19931202_MG_002464,21,2 YR Morton 2,3/31/15,10/31/93,,Active,1
,,,60015,Yes,,,Donor,,Individuals,165592,01894-593-0000138719,6,Morton 2,12/31/14,11/14/07,,Active,1
,,,60515-5224,,,,,88,Individuals,22,19931028_DA_000022,20,Morton 2,1/31/15,1/31/94,,Active,1
,,,60190,,,,,,Individuals,146041,01894-593-0000103238,8,2 YR Morton 4,5/31/16,12/5/05,,Active,1
,,,60510-8603,,,Recipient,Donor,75,Individuals,118561,01894-079-0053519,14,Morton 4,8/31/15,8/25/00,,Active,1
,,,60148,,,Recipient,Donor,,Individuals,138022,01894-593-0000089216,8,Morton 4,1/31/15,12/21/05,,Active,1
,,,60565,,,,,54,Individuals,106038,01894-079-0037226,16,Morton 4,4/30/15,2/15/98,,Active,1
,,,60045,,,,,62,Trustee,3249,19931208_TM_003249,17,Trustee,12/31/14,1/7/97,,Active,1
,,,60464-1546,,,,,,Individuals,9198,19940117_FT_009198,20,2 YR Morton 2,1/31/16,1/31/94,,Active,1
,,,60466-1607,,,,,,Individuals,129779,01894-079-0072537,11,2 YR Morton 4,4/30/15,4/15/03,,Active,1
,,,49060,,,,Donor,76,Individuals,10570,19940502_GT_010570,20,Morton 2,6/30/15,4/30/94,,Active,1
,,,60137-7403,,,,Donor,47,Individuals,101409,01894-079-0027316,16,Morton 2,1/31/15,10/19/98,,Active,1
,,,60532-2771,,,,,85,Individuals,6758,19940107_CM_006758,20,2 YR Morton 4,2/28/15,11/30/93,,Active,1
,,,60189,,,,Donor,,Individuals,124919,01894-079-0064415,12,Morton 4,5/31/15,2/9/02,,Active,1
,,,60526-1408,,,,Donor,70,Individuals,15531,19950623_JP_015531,19,Morton 2,10/31/15,6/30/95,,Active,1
,,,60532,,,,,71,Individuals,893,19931111_BB_000893,20,Morton 2,2/28/15,1/31/94,,Active,1
,,,60185-5147,,,,Donor,75,Individuals,5152,19931228_RE_005152,21,Morton 4,6/30/15,3/31/93,,Active,1
,,,60067,,,,,56,Individuals,227202,00001-593-0000255742,18,2 YR Morton 2,5/31/16,2/29/96,,Active,1
,,,60563,,,,,,Individuals,148508,01894-593-0000107449,8,Morton 1,5/31/15,4/18/06,,Active,1
,,,60516,,,,,,Individuals,138017,01894-593-0000089207,9,2 YR Morton 2,3/31/16,12/28/04,,Active,1
,,,60540-7012,,,,,67,Individuals,3457,19931209_JJ_003457,21,Morton 6,1/31/15,11/3/93,,Active,1
,,,60516-1351,,,,,,Individuals,136933,01894-593-0000087354,10,Morton 2,10/31/15,10/10/04,,Active,1
,,,60402-4255,,,,,70,Individuals,12299,19941102_NP_012299,19,Morton 1,1/31/15,11/30/94,,Active,1
,,,60163-1330,,,Recipient,Donor,94,Individuals,683,19931105_EB_000683,21,Morton 2,4/30/15,4/30/93,,Active,1
,,,60137,,,,,,Individuals,137560,01894-593-0000088489,9,2 YR Morton 6,1/31/15,12/9/04,,Active,1
,,,60554,,,,Donor,44,Individuals,113749,01894-079-0047761,14,Morton 6,12/31/14,11/20/99,,Active,1
,,,60513,,,,,66,Individuals,118459,01894-079-0053344,14,Morton 2,8/31/15,8/12/00,,Active,1
,,,60515,,,,,,Individuals,145553,01894-593-0000102410,9,2 YR Morton 6,2/29/16,11/8/05,,Active,1
,,,60540,,,,,75,Individuals,132071,01894-079-0077759,11,Morton 2,10/31/15,10/27/03,,Active,1
,,,60048,,,,Donor,50,Individuals,132838,01894-079-0079666,10,Morton 4,1/31/15,1/6/04,,Active,1
,,,60515,,,,,66,Individuals,137282,01894-593-0000087974,10,Morton 2,12/31/14,10/24/04,,Active,1
,,,60540,,,,,43,Individuals,116540,01894-079-0050486,14,2 YR Morton 4,7/31/16,4/22/00,,Active,1
,,,60187-3210,,,,Donor,56,Individuals,133632,01894-593-0000081287,10,Morton 2,6/30/15,4/4/04,,Active,1
,,,60435-0784,,,,,72,Individuals,133705,01894-593-0000081421,10,Morton 1,4/30/15,4/7/04,,Active,1
,,,60134,,,,,66,Individuals,129859,01894-079-0072645,11,Morton 2,5/31/15,4/16/03,,Active,1
,,,60189,,,,,,Individuals,115048,01894-079-0049786,14,Morton 2,4/30/15,3/25/00,,Active,1
,,,60189-8925,,,,,67,Individuals,10228,19940406_BS_010228,20,Morton 6,4/30/15,4/30/94,,Active,1
,,,60101-1281,,,,,70,Individuals,3944,19931215_CH_003944,21,2 YR Morton 1,4/30/15,4/30/93,,Active,1
,,,60565-1645,,,,,60,Individuals,14771,19950418_FZ_014771,19,2 YR Morton 4,4/30/15,4/30/95,,Active,1
,,,60137-7904,,,,,,Individuals,125517,01894-079-0065375,12,2 YR Morton 2,4/30/15,4/8/02,,Active,1
,,,60137,,,,,53,Individuals,17963,19960415_SD_017963,18,2 YR Morton 1,6/30/16,4/30/96,,Active,1
,,,60126-4127,,,,,58,Individuals,125769,01894-079-0065710,12,Morton 1,4/30/15,4/13/02,,Active,1
