"","IRI_KEY","FIPS","NAME","State_Name","REGION","DIVISION","Zip_name","Good_Bad","Zip_key","Zip_lon","Zip_lat","Share_Camp","Share_Other","Share_PL","Share_prog","per_kids18","per_kids9","per_old","per_white","per_black","hhsize","Per_college","per_hh_less20K","median_inc","capita_inc","Factor1","Factor2","Factor3","CLUSTER.cluster"
"1789",656445,53011,"Clark County","Washington",4,9,"98661 Vancouver","Bad",98661,-122.62,45.64,0.484308243,0.050667623,0.287763206,0.177260928,0.27,0.16,0.11,0.82,0.03,2.46,0.16,0.27,32975,17775,0.31620284501521,-1.18036899049201,0.515474638361044,3
"1790",656534,37183,"Wake County","North Carolina",3,5,"27513 Cary","Bad",27513,-78.8,35.8,0.530371207,0.10600609,0.176923912,0.186698791,0.28,0.17,0.04,0.8,0.07,2.61,0.59,0.06,72436,33266,0.793812972196401,1.17424264029717,0.13193312174361,2
"1791",656535,37183,"Wake County","North Carolina",3,5,"27609 Raleigh","Bad",27609,-78.63,35.84,0.501946127,0.123676428,0.177044035,0.19733341,0.2,0.12,0.12,0.77,0.15,2.24,0.47,0.13,50880,30237,-0.975812817364757,0.419561586538951,-0.330293149370771,4
"1792",656578,45045,"Greenville County","South Carolina",3,5,"29615 Greenville","Bad",29615,-82.3,34.86,0.573063915,0.067599429,0.107219579,0.252117077,0.19,0.11,0.16,0.85,0.09,2.16,0.39,0.15,46950,30140,-1.23695028661982,0.163154635925082,0.0897252229650385,4
"1793",656680,45083,"Spartanburg County","South Carolina",3,5,"29316 Boiling Springs","Bad",29316,-81.98,35.04,0.731674754,0.056778106,0.152239749,0.059307391,0.26,0.15,0.09,0.9,0.07,2.67,0.18,0.14,47968,20076,0.280209770568879,-0.347843990480221,0.806050434219051,3
"1794",656818,25025,"Suffolk County","Massachusetts",1,1,"02151 Revere","Good",2151,-71,42.42,0.248019708,0.119994684,0.108228109,0.523757498,0.21,0.12,0.17,0.84,0.03,2.41,0.12,0.28,37067,19698,-0.828154824755404,-0.647707259154626,0.26894651785981,3
"1795",656916,22051,"Jefferson Parish","Louisiana",3,7,"70001 Metairie","Good",70001,-90.17,29.98,0.442192478,0.045996728,0.066081244,0.445729549,0.19,0.11,0.15,0.86,0.08,2.14,0.23,0.24,37094,22662,-1.26486474783147,-0.496803928157636,0.245352959871624,4
"1796",656987,31109,"Lancaster County","Nebraska",2,4,"68521 Lincoln","Bad",68521,-96.71,40.86,0.540162757,0.040542965,0.230568483,0.188725796,0.27,0.16,0.07,0.88,0.03,2.6,0.25,0.19,42023,18833,0.422005316076152,-0.711154528366915,0.788806805460362,3
"1797",657004,48329,"Midland County","Texas",3,7,"79707 Midland","Bad",79707,-102.21,32.03,0.602804128,0.079155091,0.228794286,0.089246495,0.28,0.14,0.1,0.88,0.04,2.49,0.31,0.19,50166,25780,0.420971342017086,-0.201500063849425,0.70902038894597,3
"1798",657280,31109,"Lancaster County","Nebraska",2,4,"68516 Lincoln","Bad",68516,-96.64,40.73,0.553535811,0.043798114,0.194584808,0.208081267,0.29,0.16,0.07,0.95,0.01,2.73,0.44,0.07,64415,27615,0.868197915467564,0.478490937398169,1.08425537205344,2
"1799",657577,42075,"Lebanon County","Pennsylvania",1,2,"17042 Lebanon","Bad",17042,-76.42,40.29,0.462003348,0.053692888,0.252460074,0.231843689,0.22,0.12,0.19,0.94,0.02,2.41,0.17,0.2,41887,21133,-0.654343233703399,-0.490313318167441,0.830654909759889,3
