Stock,Industry,SubIndustry,Date,Positiv,Negativ,Pstv,Ngtv,Strong,Weak,Active,Passive,Polarity PN,Polarity SW,Polarity AP
ABT,Health Care,Health Care Equipment & Services,4/19/06,0.139,0.045,0.134,0.042,0.207,0.03,0.167,0.074,0.511,0.747,0.387
ABT,Health Care,Health Care Equipment & Services,7/19/06,0.133,0.035,0.128,0.033,0.193,0.028,0.163,0.074,0.584,0.748,0.377
ABT,Health Care,Health Care Equipment & Services,9/11/06,0.157,0.059,0.151,0.058,0.2,0.039,0.176,0.094,0.452,0.677,0.305
ABT,Health Care,Health Care Equipment & Services,10/18/06,0.161,0.038,0.157,0.037,0.196,0.031,0.168,0.088,0.616,0.723,0.314
ABT,Health Care,Health Care Equipment & Services,1/18/07,0.19,0.053,0.181,0.052,0.22,0.034,0.18,0.097,0.565,0.735,0.301
ABT,Health Care,Health Care Equipment & Services,1/24/07,0.126,0.047,0.121,0.046,0.207,0.033,0.171,0.087,0.454,0.725,0.325
ABT,Health Care,Health Care Equipment & Services,4/18/07,0.14,0.039,0.134,0.035,0.196,0.031,0.158,0.075,0.567,0.727,0.355
ABT,Health Care,Health Care Equipment & Services,7/18/07,0.115,0.044,0.108,0.041,0.196,0.029,0.158,0.081,0.45,0.744,0.326
ABT,Health Care,Health Care Equipment & Services,10/17/07,0.132,0.05,0.126,0.048,0.189,0.04,0.162,0.091,0.448,0.651,0.28
ABT,Health Care,Health Care Equipment & Services,1/23/08,0.13,0.045,0.125,0.043,0.201,0.031,0.168,0.086,0.489,0.736,0.324
ABT,Health Care,Health Care Equipment & Services,4/16/08,0.111,0.039,0.109,0.037,0.198,0.028,0.159,0.074,0.484,0.752,0.364
ABT,Health Care,Health Care Equipment & Services,5/13/08,0.129,0.074,0.123,0.073,0.166,0.066,0.161,0.094,0.274,0.431,0.261
ABT,Health Care,Health Care Equipment & Services,7/16/08,0.133,0.047,0.128,0.045,0.196,0.034,0.179,0.092,0.474,0.706,0.323
ABT,Health Care,Health Care Equipment & Services,10/15/08,0.138,0.043,0.133,0.041,0.205,0.027,0.175,0.085,0.524,0.769,0.348
ABT,Health Care,Health Care Equipment & Services,12/17/08,0.167,0.044,0.163,0.042,0.212,0.032,0.145,0.076,0.586,0.738,0.315
ABT,Health Care,Health Care Equipment & Services,1/21/09,0.133,0.043,0.126,0.042,0.204,0.032,0.161,0.095,0.511,0.733,0.259
ABT,Health Care,Health Care Equipment & Services,4/15/09,0.125,0.055,0.116,0.053,0.216,0.045,0.167,0.103,0.387,0.657,0.236
ABT,Health Care,Health Care Equipment & Services,7/15/09,0.133,0.043,0.122,0.041,0.205,0.031,0.165,0.086,0.508,0.735,0.313
ABT,Health Care,Health Care Equipment & Services,9/28/09,0.145,0.045,0.134,0.043,0.222,0.025,0.153,0.087,0.527,0.795,0.275
ABT,Health Care,Health Care Equipment & Services,10/14/09,0.124,0.049,0.117,0.045,0.21,0.034,0.164,0.089,0.435,0.72,0.296
